Categoria: Pessoas e sociedade

Semana,vila clementino são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,48
2022-01-23,0
2022-01-30,0
2022-02-06,55
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,59
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,77
2022-05-15,0
2022-05-22,64
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,41
2022-06-26,0
2022-07-03,0
2022-07-10,65
2022-07-17,63
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,34
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,50
2022-10-16,46
2022-10-23,0
2022-10-30,76
2022-11-06,42
2022-11-13,100
2022-11-20,35
2022-11-27,0
2022-12-04,0
2022-12-11,32
2022-12-18,0
2022-12-25,0
